"SCN","Description","Start Lat","Start Long","End Lat","End Long"
"N06111V","Gt Ancoats St southeast bound approach at PELICAN of Gt Ancoats St NW of Redhill St,DP,EB/WB,Manches","53.4834580272213","-2.23025078902079","53.4828081197452","-2.22912089881784"
"N06112W","Gt Ancoats St northwest bound approach at PELICAN of Gt Ancoats St NW of Redhill St,DP,EB/WB,Manches","53.4823281861544","-2.22842096373331","53.4825781507764","-2.22884092326195"
"N06113Y","Gt Ancoats St southeast bound approach at junction of Great Ancoats Street/Piccadilly Basin Dev.Acce","53.4826181470714","-2.22877093327878","53.4823581850505","-2.22825098537001"
"N06114Z","Gt Ancoats St northwest bound approach at junction of Great Ancoats Street/Piccadilly Basin Dev.Acce","53.4815782944273","-2.22701110317452","53.4821482111648","-2.22815098897774"
"N06121H","Miller St right turn approach at junction of Swan St/Rochdale Rd, Manchester.","","","",""
"N06121J","Miller St Left turn approach at junction of Swan St/Rochdale Rd, Manchester.","","","",""
"N06121K","Rochdale Rd southwest bound right turn approach at junction of Swan St/Rochdale Rd, Manchester.","","","",""
"N06121L","Rochdale Rd southwest bound approach at junction of Swan St/Rochdale Rd, Manchester.","53.4866675802865","-2.23513033094644","53.4863976057618","-2.23557026723568"
"N06121M","Swan St approach at junction of Swan St/Rochdale Rd, Manchester.","53.484847823615","-2.23307050569997","53.4861676302385","-2.23575023638476"
"N06121N","Shudhill approach at junction of Swan St/Rochdale Rd, Manchester.","53.4857076656585","-2.23706006047596","53.4861776230793","-2.23617018629286"
"N06131T","Rochdale Rd northeast bound approach at junction of Rochdale Rd/Thompson St, Manchester.","53.4870275410956","-2.23491037181396","53.4877774777102","-2.23317061104338"
"N06131V","Ludgate Hill approach at junction of Rochdale Rd/Thompson St, Manchester.","53.4882574211337","-2.2331806290701","53.4880174531982","-2.23291065191596"
"N06131W","Rochdale Rd southwest bound approach at junction of Rochdale Rd/Thompson St, Manchester.","53.489027369652","-2.23044098933685","53.4879074699785","-2.23264067996954"
"N06131X","Thompson St approach at junction of Rochdale Rd/Thompson St, Manchester.","53.4862577001676","-2.23010091922453","53.4876974919609","-2.23283064871435"
"N06141A","Oldham Rd southwest bound approach at junction of Oldham Rd/Sherratt St/Thompson St, Manchester.","53.4865776917653","-2.22805117849149","53.4860477322686","-2.22958097332352"
"N06141C","Oldham Rd northeast bound approach at junction of Oldham Rd/Sherratt St/Thompson St, Manchester.","53.4854677695322","-2.23175068921863","53.4860577248217","-2.23002092082893"
"N06141Y","Thompson St approach at junction of Oldham Rd/Sherratt St/Thompson St, Manchester.","53.487137574901","-2.23163077054579","53.4862277065452","-2.229900942066"
"N06151D","Oldham Rd southwest bound approach at junction of Oldham Rd/Addington St, Manchester.","53.4859677368282","-2.22992092924475","53.4853477854931","-2.23162070003966"
"N06151F","Oldham Rd northeast bound approach at junction of Oldham Rd/Addington St, Manchester.","53.4849378168811","-2.23280054176277","53.4853177826074","-2.23207064474096"
"N06151G","Addington St approach at junction of Oldham Rd/Addington St, Manchester.","53.4866675894051","-2.23449040788773","53.485467765257","-2.23205065315387"
"N06161A","Newton St exit at junction of Gt Ancoats St/Newton St, Manchester.","","","",""
"N06161Q","Gt Ancoats St southeast bound approach at junction of Gt Ancoats St/Newton St, Manchester.","53.4841079335582","-2.23146066960298","53.4837079918437","-2.23067074854706"
"N06161R","Gt Ancoats St southeast bound right turn approach at junction of Gt Ancoats St/Newton St, Manchester","53.4838179743508","-2.23099071448596","53.4836679954063","-2.23075073732796"
